Hostname,parent_aggr,Avg_total_ops_All_Hrs,%_Of_total_ops_All_Hrs,Avg_total_ops_Biz_Hrs,%_Of_total_ops_Biz_Hrs,Avg_total_ops_After_Hrs,%_Of_total_ops_After_Hrs
aus-mel-a700-02,aus-mel-a700-02:mtcntap01_06_ssd,1210.2393538715871,95.5084689792119,1310.2076666657556,95.94734326562099,1114.525011834617,95.01927190186692
prtntap01-04,prtntap01-04:prtntap01_04_tier02_aggr01,861.1487938657825,85.5185416931121,803.6984322266907,84.40271049400293,910.9391072863317,86.39185641289912
prtntap01-01,prtntap01-01:prtntap01_01_tier01_aggr02,651.9948547990259,26.259173590753687,630.005536141958,27.2939511707367,671.0522643018184,25.473382097076588
prtntap01-03,prtntap01-03:prtntap01_03_tier02_aggr01,631.944752493657,61.037963360692395,628.1527440288382,62.64082682615858,635.2311598298351,59.72816694921385
aus-mel-a700-01,aus-mel-a700-01:mtcntap01_05_ssd,567.5075992172882,97.09272598962026,523.9242276213828,96.94019287212313,608.1854127067998,97.21571491316593
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier02_aggr01,400.80994039463894,60.55020205438307,390.2817752587614,61.15477021720711,409.8148458266042,60.066515045728124
prtntap01-02,prtntap01-02:prtntap01_02_tier01_aggr01,380.84446797077123,88.77680280084314,368.6847843887944,88.64781261426702,391.4471188989598,88.88301679405862
prtntap01-01,prtntap01-01:prtntap01_01_tier01_aggr01,355.0714253245208,71.50272832741115,325.10058314059717,70.42223387556142,381.0461552172572,72.32323639180397
prtntap01-03,prtntap01-03:prtntap01_03_tier03_aggr01,303.93796321920445,38.53054776382066,282.18403457372216,36.93379811162847,322.7913680452888,39.83534820972831
mtcntap01-04,mtcntap01-04:mtcntap01_04_tier02_aggr01,277.91241011691216,53.7669289895118,302.1724592926267,55.97441194520556,256.92141744500253,51.69235004460146
mtcntap01-01,mtcntap01-01:mtcntap01_01_tier01_aggr01,243.8881157967956,97.47827629169889,245.73352897168115,97.52077476511494,242.28725178664715,97.44091583105148
mtcntap01-03,mtcntap01-03:mtcntap01_03_tier03_aggr01,197.79947416824317,39.07123873543308,187.63967100931913,38.45340673226726,206.493144548949,39.56553752891908
mtcntap01-02,mtcntap01-02:mtcntap01_02_tier01_aggr01,180.48180014512633,87.36385133754901,165.2122288279343,86.55484126700684,193.71542862002636,87.97161566156159
prtntap01-02,prtntap01-02:aggr0_prtntap01_02,144.43950777882733,11.223197199156836,141.64067793286713,11.352187385733059,146.8799508762194,11.116983205941283
mtcntap01-02,mtcntap01-02:mtcntap01_02_root,130.52279762077924,12.6361486624508,128.31775835454545,13.445158732993153,132.43383165151508,12.028384338438403
mtcntap01-04,mtcntap01-04:mtcntap01_04_tier03_aggr01,130.33244681083102,45.63955062078079,130.28076070924558,43.472603912469275,130.37677110759938,47.676033848982854
mtcntap01-04,mtcntap01-04:mtcntap01_04_root,113.24088115061484,0.5935203897065938,110.45356583300696,0.5529841423263734,115.64200217722889,0.6316161064158846
mtcntap01-03,mtcntap01-03:mtcntap01_03_root,87.59186331490963,0.3785592101830864,87.43801016516342,0.3918230505262393,87.72336907977652,0.36794742535324093
prtntap01-04,prtntap01-04:prtntap01_04_tier03_aggr01,79.18466447580208,13.889011990811309,80.7593640672313,14.99976883386048,77.81651511185723,13.01966875868692
prtntap01-03,prtntap01-03:aggr0_prtntap01_03,71.47738636376627,0.43148887548850745,68.2495493393706,0.42537506221323285,74.27484511824245,0.4364848410594516
mtcntap01-01,mtcntap01-01:mtcntap01_01_root,66.68460508710841,2.521723708301171,66.12263347727271,2.479225234885104,67.17080524393262,2.559084168948503
prtntap01-04,prtntap01-04:aggr0_prtntap01_04,65.62353174649346,0.5924463160762066,62.5867424244056,0.5975206721364162,68.25541582563633,0.5884748284135914
prtntap01-01,prtntap01-01:aggr0_prtntap01_01,55.57023448772726,2.2380980818351968,52.715565267762244,2.2838149537020582,58.0442811450303,2.2033815111194883
aus-mel-a700-01,aus-mel-a700-01:mtcntap01_05_root,38.75939450657303,2.9072740103797288,37.689144056279055,3.0598071278768173,39.759846014456514,2.7842850868341236
aus-mel-a700-02,aus-mel-a700-02:mtcntap01_06_root,33.781577061096776,4.491531020788099,32.76769736894737,4.052656734379036,34.7569549927848,4.98072809813309
aus-mel-a700-01,aus-mel-a700-01:aggr0_mtcntap01_05,,0.0,,0.0,,0.0
aus-mel-a700-02,aus-mel-a700-02:aggr0_mtcntap01_06,,0.0,,0.0,,0.0
