,occurences,top_10,bottom_90
Warner Brothers,95728777.0,26709158.0,69019619.0
Viacom,87798035.0,27271367.0,60526668.0
Disney,75103122.0,28916442.0,46186680.0
NBC Universal,68876141.0,19508658.0,49367483.0
20th Century Fox,51925253.0,13700348.0,38224905.0
Sony,44516972.0,18678818.0,25838154.0
Netflix,43627019.0,20028479.0,23598540.0
HBO,23040131.0,17322319.0,5717812.0
Lionsgate,18706597.0,8768609.0,9937988.0
AMC,12804811.0,10041246.0,2763565.0
Amazon,7328015.0,4017787.0,3310228.0
A&E Networks,6312942.0,5687296.0,625646.0
Discovery,4227148.0,1604018.0,2623130.0
Hulu,4006013.0,3539211.0,466802.0
MGM,3945242.0,1964363.0,1980879.0
Apple TV+,1764470.0,1673384.0,91086.0
