year,SPY_returns,TLT_returns,blended_returns_active_mgmt,SPY_returns_bah,TLT_returns_bah,60_40_blend_bah
2003,0.206960437,0.116338114,0.323298551,0.213613755,-0.001871617,0.127419606
2004,0.071236509,0.063171634,0.134408143,0.088963282,0.040643874,0.069635519
2005,0.090108293,0.074721999,0.164830292,0.035003399,0.041631875,0.037654789
2006,0.104304785,-0.030571723,0.073733062,0.133832671,-0.035686781,0.06602489
2007,0.08604651,0.1091268,0.19517331,0.044431692,0.055545917,0.048877382
2008,0.267155239,0.126606114,0.393761353,-0.397500096,0.263633851,-0.133046517
2009,0.427056835,-0.104662115,0.322394719,0.24657257,-0.266072847,0.041514403
2010,0.185210551,0.159365828,0.344576378,0.136926039,0.059255849,0.105857963
2011,0.149490565,0.208106046,0.357596612,0.024499626,0.273521444,0.124108353
2012,0.115823687,0.051620607,0.167444294,0.134526152,0.009407066,0.084478518
2013,0.153109724,0.030070914,0.183180638,0.266276534,-0.164839462,0.093830136
2014,0.121631985,0.184605215,0.3062372,0.113335989,0.217775835,0.155111928
2015,0.032212837,0.13282333,0.165036167,0.00394594,-0.03113276,-0.01008554
2016,0.217153653,0.115931039,0.333084692,0.100686709,-0.003664067,0.058946399
2017,0.142557499,0.128516075,0.271073574,0.179516225,0.067599662,0.1347496
2018,0.129707532,0.026986509,0.156694041,-0.05096431,-0.038745746,-0.046076885
2019,0.319016719,0.184489933,0.503506652,0.260964541,0.116002517,0.202979732
