Day,Description,High / Low,Precip,Wind,Humidity
Tonight 2 MAY,Cloudy,-- / 7,20 %,SE 7 km/h ,90 %
Fri 3 MAY,Rain,12 / 8,90 %,SSE 17 km/h ,80 %
Sat 4 MAY,AM Clouds / PM Sun,15 / 7,20 %,NNW 12 km/h ,69 %
Sun 5 MAY,PM Showers,17 / 7,40 %,SSE 13 km/h ,59 %
Mon 6 MAY,Partly Cloudy,19 / 7,10 %,SW 13 km/h ,57 %
Tue 7 MAY,PM Showers,14 / 7,40 %,NNW 11 km/h ,56 %
Wed 8 MAY,PM Showers,16 / 8,30 %,NNW 17 km/h ,57 %
Thu 9 MAY,Showers,14 / 7,40 %,NNW 15 km/h ,61 %
Fri 10 MAY,PM Showers,13 / 7,40 %,NNW 15 km/h ,60 %
Sat 11 MAY,Mostly Cloudy,13 / 8,20 %,SSW 14 km/h ,58 %
Sun 12 MAY,Showers,16 / 10,50 %,SSW 16 km/h ,60 %
Mon 13 MAY,Showers,16 / 9,50 %,W 18 km/h ,59 %
Tue 14 MAY,PM Showers,15 / 9,40 %,W 17 km/h ,57 %
Wed 15 MAY,PM Showers,16 / 10,30 %,W 15 km/h ,57 %
Thu 16 MAY,Showers,16 / 10,50 %,WSW 16 km/h ,56 %
